"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2025-02-11","³ì±¤","2326","26533400",,"0.0",,"0.0","2602","-10.6","25582850","3.7"
"2025-02-10","³ì±¤","2294","22110750",,"0.0",,"0.0","2846","-19.4","27146424","-18.6"
"2025-02-09","³ì±¤",,,"1446","0.0","11810700","0.0","3075","0.0","28682656","0.0"
"2025-02-08","³ì±¤","1578","11586000","3518","-55.1","39657700","-70.8","3425","-53.9","30688467","-62.2"
"2025-02-07","³ì±¤","2047","13655200","4152","-50.7","46148450","-70.4","3673","-44.3","32483548","-58.0"
"2025-02-06","³ì±¤","2437","13034000","3956","-38.4","33413500","-61.0","3872","-37.1","33291692","-60.8"
"2025-02-05","³ì±¤","3110","21100000","6033","-48.5","47593800","-55.7","4152","-25.1","34236059","-38.4"
"2025-02-04","³ì±¤","1996","20045050",,"0.0",,"0.0","4212","-52.6","34808118","-42.4"
"2025-02-03","³ì±¤","2367","23412700","4469","-47.0","36762500","-36.3","4357","-45.7","34964242","-33.0"
"2025-02-02","³ì±¤",,,"4784","0.0","34002100","0.0","4359","0.0","33340267","0.0"
"2025-02-01","³ì±¤","2886","21943700","4917","-41.3","34746800","-36.8","4490","-35.7","32289193","-32.0"
"2025-01-31","³ì±¤",,,"4761","0.0","34509600","0.0","4339","0.0","31777678","0.0"
"2025-01-30","³ì±¤",,,"5666","0.0","41999100","0.0","4411","0.0","31931988","0.0"
"2025-01-29","³ì±¤",,,"6381","0.0","49100450","0.0","4455","0.0","32010143","0.0"
"2025-01-28","³ì±¤","1189","9157500",,"0.0",,"0.0","4468","-73.4","31043777","-70.5"
"2025-01-27","³ì±¤","4584","36468850","3724","23.1","27509200","32.6","4286","7.0","29073987","25.4"
"2025-01-26","³ì±¤",,,"3423","0.0","20024100","0.0","4200","0.0","26743770","0.0"
"2025-01-25","³ì±¤","3084","27311900","4433","-30.4","25737450","6.1","3912","-21.2","23671602","15.4"
"2025-01-24","³ì±¤","4445","28265300","3821","16.3","23163600","22.0","3891","14.2","22847503","23.7"
"2025-01-23","³ì±¤","4174","23788500","2652","57.4","18778150","26.7","3638","14.7","21515623","10.6"
"2025-01-22","³ì±¤","4838","26093550","3323","45.6","20535700","27.1","3906","23.9","21607772","20.8"
"2025-01-21","³ì±¤","5849","42241400",,"0.0",,"0.0","4116","42.1","22451722","88.1"
"2025-01-20","³ì±¤","4597","40293200","4126","11.4","22859550","76.3","4625","-0.6","24462028","64.7"
"2025-01-19","³ì±¤",,,"5157","0.0","28966600","0.0","5061","0.0","27927938","0.0"
"2025-01-18","³ì±¤","3940","34625000","5521","-28.6","36135950","-4.2","5235","-24.7","30091125","15.1"
"2025-01-17","³ì±¤","3340","28583500","4150","-19.5","37259700","-23.3","5065","-34.1","29695793","-3.7"
"2025-01-16","³ì±¤","2268","16848600","4008","-43.4","40282500","-58.2","4934","-54.0","28641910","-41.2"
"2025-01-15","³ì±¤","2660","16296900","2948","-9.8","29018300","-43.8","4628","-42.5","28863203","-43.5"
"2025-01-14","³ì±¤","2134","10746200",,"0.0",,"0.0","4121","-48.2","24660310","-56.4"
"2025-01-13","³ì±¤","2571","9733780","2964","-13.3","23695950","-58.9","3833","-32.9","19961488","-51.2"
"2025-01-12","³ì±¤",,,"1195","0.0","7405500","0.0","3763","0.0","17233425","0.0"
"2025-01-11","³ì±¤","2291","6367750","2401","-4.6","12330700","-48.4","3972","-42.3","16564207","-61.6"
"2025-01-10","³ì±¤","3045","6807400","2687","13.3","11265450","-39.6","4106","-25.8","15624067","-56.4"
"2025-01-09","³ì±¤","4429","12014850","5817","-23.9","22116400","-45.7","4517","-1.9","17493898","-31.3"
"2025-01-08","³ì±¤","5187","17532580","6273","-17.3","25654700","-31.7","4832","7.3","19498662","-10.1"
"2025-01-07","³ì±¤","4621","18584400",,"0.0",,"0.0","5156","-10.4","21723922","-14.5"
"2025-01-06","³ì±¤","5499","24263100","6186","-11.1","26319350","-7.8","5028","9.4","22245647","9.1"
"2025-01-05","³ì±¤",,,"4818","0.0","25793800","0.0","4804","0.0","21246535","0.0"
"2025-01-04","³ì±¤","4653","19128700","4543","2.4","25017500","-23.5","4532","2.7","20317911","-5.9"
"2025-01-03","³ì±¤","2940","11449910","4477","-34.3","19459400","-41.2","4405","-33.3","18987331","-39.7"
"2025-01-02","³ì±¤",,,,"0.0",,"0.0","4510","0.0","16654302","0.0"
"2025-01-01","³ì±¤",,,,"0.0",,"0.0","4506","0.0","14517972","0.0"
"2024-12-31","³ì±¤","2727","8493500",,"0.0",,"0.0","4639","-41.2","13582559","-37.5"
"2024-12-30","³ì±¤","4827","13783640","4540","6.3","13631650","1.1","4720","2.3","13140832","4.9"
"2024-12-29","³ì±¤",,,"5052","0.0","15152600","0.0","4627","0.0","13137254","0.0"
"2024-12-28","³ì±¤","4417","11758300","5760","-23.3","15520800","-24.2","4761","-7.2","13642203","-13.8"
"2024-12-27","³ì±¤","4177","11260700","5348","-21.9","14613800","-22.9","4936","-15.4","14399707","-21.8"
"2024-12-26","³ì±¤","3761","10954900","6121","-38.6","17033800","-35.7","4821","-22.0","14288377","-23.3"
"2024-12-25","³ì±¤","5072","15639400","7335","-30.9","22871900","-31.6","4424","14.6","13476310","16.1"
