품목명,forecast_week_start,model_used,y_hat
청양,2025-07-07,WeekMean,3760.1976878883906
청양,2025-07-14,WeekMean,3766.1881288604336
청양,2025-07-21,WeekMean,3250.5401747878736
청양,2025-07-28,WeekMean,3353.0989762363342
청초(일반),2025-07-07,WeekMean,3100.9452714473796
청초(일반),2025-07-14,WeekMean,2781.4088634915634
청초(일반),2025-07-21,WeekMean,2666.491786917785
청초(일반),2025-07-28,WeekMean,2465.773934956436
청피망,2025-07-07,RollMean(4w),1469.129253007024
청피망,2025-07-14,RollMean(4w),1044.4577230361856
청피망,2025-07-21,RollMean(4w),1018.5404419136432
청피망,2025-07-28,RollMean(4w),2192.5409720735743
취청,2025-07-07,RollMean(4w),3040.7847990196965
취청,2025-07-14,RollMean(4w),3110.287738489526
취청,2025-07-21,RollMean(4w),2097.5826037297597
취청,2025-07-28,RollMean(4w),2399.581743014206
치커리(일반),2025-07-07,HW-Add,4070.841158306276
치커리(일반),2025-07-14,HW-Add,3960.1408518018397
치커리(일반),2025-07-21,HW-Add,5565.608324443336
치커리(일반),2025-07-28,HW-Add,5793.889883426991
치콘,2025-07-07,WeekMean,4222.694895201506
치콘,2025-07-14,WeekMean,3922.102257057658
치콘,2025-07-21,WeekMean,4195.251139731041
치콘,2025-07-28,WeekMean,6146.5118668331825
토마토(일반),2025-07-07,WeekMean,1619.9427745904366
토마토(일반),2025-07-14,WeekMean,1800.8755047804098
토마토(일반),2025-07-21,WeekMean,1864.2326321500448
토마토(일반),2025-07-28,WeekMean,1729.7776681395226
파프리카,2025-07-07,WeekMean,1802.9512882749088
파프리카,2025-07-14,WeekMean,2668.003329832961
파프리카,2025-07-21,WeekMean,2839.9081653307817
파프리카,2025-07-28,WeekMean,3343.4405797177437
팽이,2025-07-07,SeasonalNaive,1611.124338882344
팽이,2025-07-14,SeasonalNaive,1325.9565069127152
팽이,2025-07-21,SeasonalNaive,1234.3589810997328
팽이,2025-07-28,SeasonalNaive,1555.3764738569505
포장쪽파,2025-07-07,WeekMean,3696.255559613511
포장쪽파,2025-07-14,WeekMean,3801.427722237392
포장쪽파,2025-07-21,WeekMean,3529.5475112635213
포장쪽파,2025-07-28,WeekMean,3648.345376432051
표고버섯(일반),2025-07-07,WeekMean,5555.157110059075
표고버섯(일반),2025-07-14,WeekMean,5654.411516895471
표고버섯(일반),2025-07-21,WeekMean,5230.270584488979
표고버섯(일반),2025-07-28,WeekMean,5814.575692976685
호박고구마,2025-07-07,HW-Mul,1700.2471588565736
호박고구마,2025-07-14,HW-Mul,1873.6243689752446
호박고구마,2025-07-21,HW-Mul,1861.1439752314323
호박고구마,2025-07-28,HW-Mul,1931.9851443562234
홍고추(일반),2025-07-07,WeekMean,3791.4331510386683
홍고추(일반),2025-07-14,WeekMean,3200.813711565153
홍고추(일반),2025-07-21,WeekMean,3256.664720796799
홍고추(일반),2025-07-28,WeekMean,3069.5253770216086
홍청양,2025-07-07,RollMean(4w),2523.351116884723
홍청양,2025-07-14,RollMean(4w),2552.844096743447
홍청양,2025-07-21,RollMean(4w),3764.131304857113
홍청양,2025-07-28,RollMean(4w),4380.615090936912
홍피망,2025-07-07,WeekMean,2587.677921858318
홍피망,2025-07-14,WeekMean,3099.419926425472
홍피망,2025-07-21,WeekMean,2911.909215392312
홍피망,2025-07-28,WeekMean,3013.4965654608473
